place;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1c69a67ad480e1b1;daksh_dhankhar;2016-11-06 04:19;0;0;"@realDonaldTrump @mike_pence @DonaldJTrumpJr @SenateGOP @HillaryClinton @GOP pic.twitter.com/oOCy2ToAEr";;@realDonaldTrump @mike_pence @DonaldJTrumpJr @SenateGOP @HillaryClinton @GOP;;"795103211803680768";https://twitter.com/daksh_dhankhar/status/795103211803680768
1c69a67ad480e1b1;MiWi713;2016-11-06 04:04;7;7;"@RoyalTXGirl @HillaryClinton @realDonaldTrump @gotspeed2burn @sharon4marie pic.twitter.com/xqxRABnvi6";;@RoyalTXGirl @HillaryClinton @realDonaldTrump @gotspeed2burn @sharon4marie;;"795099416759848960";https://twitter.com/MiWi713/status/795099416759848960
1c69a67ad480e1b1;DeadLeaFMoth;2016-11-06 04:01;15;24;"Are you faking assassination attempts now @realDonaldTrump ? That would fit in perfectly w/your pro-wrestling inspired playbook";;@realDonaldTrump;;"795098749018181632";https://twitter.com/DeadLeaFMoth/status/795098749018181632
1c69a67ad480e1b1;MiWi713;2016-11-06 04:00;0;0;"@EversFam @realDonaldTrump @BreitbartNews In Houston, Harris county had iver 977K early voters!! Wow!";;@EversFam @realDonaldTrump @BreitbartNews;;"795098463826542592";https://twitter.com/MiWi713/status/795098463826542592
1c69a67ad480e1b1;Rich_Bruklis;2016-11-06 03:59;0;1;"@realDonaldTrump @HumbleTeej lol. What?";;@realDonaldTrump @HumbleTeej;;"795098332335079424";https://twitter.com/Rich_Bruklis/status/795098332335079424
1c69a67ad480e1b1;Michaelmrw;2016-11-06 03:54;0;0;"@JudgeJeanine @ole_47 @realDonaldTrump @GenFlynn As a Bank Loan Officer I had my life Threatened - It will make your blood run cold!";;@JudgeJeanine @ole_47 @realDonaldTrump @GenFlynn;;"795096938756587520";https://twitter.com/Michaelmrw/status/795096938756587520
1c69a67ad480e1b1;deborahpiggue;2016-11-06 03:44;0;0;"@JesseFFerguson @Lee_in_Iowa @HillaryClinton @realDonaldTrump ...almost...";;@JesseFFerguson @Lee_in_Iowa @HillaryClinton @realDonaldTrump;;"795094492529295361";https://twitter.com/deborahpiggue/status/795094492529295361
1c69a67ad480e1b1;Scotti_Brown97;2016-11-06 03:37;1;1;"@realDonaldTrump I did early voting last week on Saturday; long story short I voted for you #TrumpTrain #Trump2016 #TrumpPence2016";;@realDonaldTrump;#TrumpTrain #Trump2016 #TrumpPence2016;"795092602399944705";https://twitter.com/Scotti_Brown97/status/795092602399944705
1c69a67ad480e1b1;Houston_Scott;2016-11-06 03:36;0;0;"So some unarmed dude waved a sign at @realDonaldTrump and his campaign calls it an assassination attempt? #AssInANation";;@realDonaldTrump;#AssInANation;"795092433826672640";https://twitter.com/Houston_Scott/status/795092433826672640
1c69a67ad480e1b1;iPetroleuminfo;2016-11-06 03:25;0;2;"WE HAVE 8000 BOPD ... LOE Less Than $12 ... WE'RE NOT WORRIED BUT WE MUST #VoteOil WHICH MEANS VOTE @realDonaldTrump ! VOTE @GOP @TexasGOP pic.twitter.com/ZLDZKOZSvP";;@realDonaldTrump @GOP @TexasGOP;#VoteOil;"795089685144076289";https://twitter.com/iPetroleuminfo/status/795089685144076289
1c69a67ad480e1b1;deb7777s;2016-11-06 03:04;0;1;"@realDonaldTrump we you! We're going to win #MAGA";;@realDonaldTrump;#MAGA;"795084328535519233";https://twitter.com/deb7777s/status/795084328535519233
1c69a67ad480e1b1;maddezmom;2016-11-06 03:01;1;3;"@SalenaZito @RalstonReports @realDonaldTrump wow that was quick...almost like prewritten lol";;@SalenaZito @RalstonReports @realDonaldTrump;;"795083681408942080";https://twitter.com/maddezmom/status/795083681408942080
1c69a67ad480e1b1;Oldwelsh;2016-11-06 02:25;0;0;"You push anger & division LilDick @realDonaldTrump Stop your nonsense & try to grow up. Your father despised you. Get over it! @maddow @CNN";;@realDonaldTrump @maddow @CNN;;"795074595975995392";https://twitter.com/Oldwelsh/status/795074595975995392
1c69a67ad480e1b1;maddezmom;2016-11-06 01:57;0;0;"Petty obvious... you good with this @realDonaldTrump @KellyannePolls ? https:// twitter.com/samsteinhp/sta tus/795066685497688064 …";;@realDonaldTrump @KellyannePolls;;"795067595347070976";https://twitter.com/maddezmom/status/795067595347070976
1c69a67ad480e1b1;maddezmom;2016-11-06 01:44;1;3;"Hmmm, @realDonaldTrump is sniffling again.";;@realDonaldTrump;;"795064206756290560";https://twitter.com/maddezmom/status/795064206756290560
1c69a67ad480e1b1;hondacar_skelso;2016-11-06 01:21;0;0;"@IngrahamAngle @TRUMP_PREZ @realDonaldTrump Hillary Win means this Whole Election Process is Rigged Bought Etc.!!";;@IngrahamAngle @TRUMP_PREZ @realDonaldTrump;;"795058469845999616";https://twitter.com/hondacar_skelso/status/795058469845999616
1c69a67ad480e1b1;FalesRaymond;2016-11-06 01:18;0;0;"Glad to see @realDonaldTrump supports amnesty! https:// twitter.com/therickwilson/ status/795056887683088384 …";;@realDonaldTrump;;"795057725961105409";https://twitter.com/FalesRaymond/status/795057725961105409
