username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Khanoisseur;2016-11-05 18:57;51;64;"Fox running incredibly irresponsible "rampant voter fraud" story Only documented case of voter fraud this election? A Trump Iowa supporter pic.twitter.com/t75mm3jMeS";;;;"794961858029494272";https://twitter.com/Khanoisseur/status/794961858029494272
Wolfkenn;2016-11-05 18:55;0;0;"@JudgeJeanine Hi! Welcome to the 2016 election. fyi the GOP nominated Donald Trump. Seriously. Crazy, right??! You should watch the news.";;@JudgeJeanine;;"794961376884060161";https://twitter.com/Wolfkenn/status/794961376884060161
SFHandyman;2016-11-05 18:48;0;0;"Breitbart staff run Trump campaign. FBI NY office agents used crazy Breitbart book to throw election to Trump. http://www. towleroad.com/2016/11/fbi-tr ump/ …";;;;"794959609874128896";https://twitter.com/SFHandyman/status/794959609874128896
contentnow;2016-11-05 18:41;0;0;"Back to the Future predicted the #Cubs winning the #WorldSeries ...omg was #Trump mentioned in Back to the Future :/ pic.twitter.com/0poPw3Te1k";;;#Cubs #WorldSeries #Trump;"794957883037270017";https://twitter.com/contentnow/status/794957883037270017
SanFranciscoCP;2016-11-05 18:39;0;0;"ABC News News/WaPo tracking poll: Clinton edging Trump 46-45% in the South, a region Romney won by 10 points in 2012 http:// abcn.ws/2fbL6DQ";;;;"794957336192294912";https://twitter.com/SanFranciscoCP/status/794957336192294912
capleen;2016-11-05 18:29;0;0;"Trump desensitivity training https:// twitter.com/hillaryclinton /status/794894074037866496 …";;;;"794954710012698625";https://twitter.com/capleen/status/794954710012698625
stevesilberman;2016-11-05 18:12;5;15;"How Trump short-circuited the media to ride a tsunami of bullshit memes to the doorstep of the White House. http://www. newyorker.com/news/news-desk /trump-and-the-truth-the-viral-candidate …";;;;"794950504132378624";https://twitter.com/stevesilberman/status/794950504132378624
SanFranciscoCP;2016-11-05 17:49;0;0;"President Obama tells Bill Maher a protest vote is "a vote for Trump" http:// abcn.ws/2ez10K7";;;;"794944648615604224";https://twitter.com/SanFranciscoCP/status/794944648615604224
BWLogan;2016-11-05 17:46;1;1;"Trump says, 'Can you imagine if I said that?' Yes, and: http://www. mediaite.com/online/donald- trump-drops-f-bomb-at-new-hampshire-rally/ …";;;;"794943953741049856";https://twitter.com/BWLogan/status/794943953741049856
remilash;2016-11-05 17:41;0;0;"@DrJillStein @JoyAnnReid you madam is a joker of a candidate & closet trump assistant,you've never questioned Sean hannity's bias reporting";;@DrJillStein @JoyAnnReid;;"794942803113492480";https://twitter.com/remilash/status/794942803113492480
BWLogan;2016-11-05 17:39;6;13;"Some serious false equivalence from Trump here. http://www. businessinsider.com/donald-trump-j ay-z-hillary-clinton-concert-2016-11 …";;;;"794942108083699712";https://twitter.com/BWLogan/status/794942108083699712
